Actividad,sec,Concepto,Entregable
1,1,"Manual de marcado de documentos siguiendo el formato JATS","Manual editorial"
2,1,"Creación de un formulario digital para realizar entrevistas sobre el uso de IA","Instrumento de entrevistas"
2,2,"Resultados de la encuesta","Base de datos"
3,1,"Entrenamiento para la creación de documentos basados en datos","Manual de entrenamiento"
4,1,"Creación de información estadística de publicaciones científicas por parte de investigadores del Inecol","Base de datos"
5,1,"Configuración de un servidor de información geoespacial, un servidor de metadatos geoespaciales, un servidor de formularios móviles y un servidor de datos no geográficos en un servidor , con sus hojas de configuración automática","Servicios informáticos configurados"
6,1,"Formatos y documentos de seguimiento y control de los procesos administrativos","Oficios y archivos de control"
