Actividad,Concepto
1,"Servicio y elaboración de un programa editorial requerido como enfoque del proyecto, así también de los documentos usando herramientas que faciliten el marcado JATS"
2,"Consultoría para diseñar un instrumento de entrevistas para recopilar datos sobre el perfil académico, conocimiento actual e intereses sobre diversas tareas inculadas con el uso de Inteligencia Artificial (IA) por parte del personal del Inecol, así como realizar un análisis estadístico exploratorio de la información generada."
3,"Apoyo en la capacitación y conducción del proceso de entrenamiento del personal en las habilidades y computacionales que requiere"
4,"Servicios de Investigación Estadística para Diagnóstico y Modelado de escenarios de migración a publicaciones de acceso libre en las revistas académicas"
5,"Consultoría para el Desarrollo de Sistema computacional para Ciencia Abierta que consiste en una serie de aplicaciones WEB para potenciar las actividades científicas, incluyendo la recopilación de información, su consolidación en bases de datos y la publicación suscinta de los resultados de las investigaciones."
6,"Servicio de apoyo administrativo en la preparación de documentos físicos para llevar a cabo en tiempo y forma el llenado de formatos, facturación y demás perfiles del Proyecto Especial Ciencia Abierta 2025."
